name,Santa Barbara Zoo,Sustainable Wine Tours,Mission Santa Barbara,Captain Jack's Tours & Events,Stearns Wharf,Celebration Cruises,Santa Barbara Botanic Garden,Arroyo Burro Beach,Santa Barbara County Courthouse,SB Buggie,Santa Barbara Art Glass,Santa Barbara Adventure Company,DeeTours of Santa Barbara,Cal Coast Adventures,Third Window Brewing,Jump On The School Bus,Wine Edventures,Segway of Santa Barbara,Douglas Family Preserve,Wheel Fun Rentals - 24 E Mason St,Wine Canyon Tours,RockStar Transportation,Cloud Climbers Jeep Tours,MOXI - The Wolf Museum Of Exploration + Innovation,India House,Night Lizard Brewing Company,Movegreen,Taste Santa Barbara Food Tours,Land and Sea Shark Tour,Santa Barbara Museum of Natural History,Grapeline Wine Tours,Santa Barbara Home Improvement Center,Channel Islands Outfitters,Biergarten,Santa Barbara Museum of Art,Lotusland,Santa Barbara Museum of Natural History Sea Center,Santa Barbara Bikes To Go,Rancho Oso RV & Camping Resort,Santa Barbara Beach Horseback Rides,Santa Barbara Sunrise RV Park,Sunset Kidd Sailing Cruises and Whale Watching,Pete's Preferred Wine Tours,The Garden,Wine Tasting Designated Drivers of Santa Barbara,Preferred Limousine & Transportation,Shoreline Park,Condor Express Whale Watching,Eat This Shoot That!,Eos Transportation,I Bike Santa Barbara Wine Country Tours,Alice Keck Park Memorial Gardens,Channel Islands Expeditions,Moreton Bay Fig Tree,AutoCamp Santa Barbara,Santa Barbara Trolley,Alameda Park,WDC Kitchen & Bath - Santa Barbara,Social Cycle,SB Chauffeuring & Tours,East Beach,World Market,Terra Sol Garden Center,Warbler Records & Goods,Santa Barbara Classic Wine Tours,Silk Road Transportation and Wine Tours,Sears Santa Barbara,Target,Cloud 10 Jump Club,Chumash Painted Cave State Historic Park,Stardust Sportfishing,FreeWalkingTourSB,Explore Wines Tour,Santa Barbara Taste,Enjoy The Mountain,Appellation Wine Tours,Anthropologie,Rooted Vine Tours,One Thousand Steps Beach,Surf N Wear's Beach House,Elings Park,Leadbetter Beach,Mesa Lane Steps,La Sumida Nursery,The Blue Door,SB Evolution Landscape,DIANI,Ross Dress for Less,San Andres Hardware,Santa Barbara Backroads Wine Tours,Santa Barbara Design Center,Santa Barbara Historical Museum,Luxe Transportation,ABS Glass,Sensational Pets,Santa Barbara Harbor,Sophie's French Maids,Santa Barbara Mattress,El Presidio de Santa Bárbara State Historic Park,Reid's Appliances
Santa Barbara Zoo,0.0,10.257437275211887,14.023405566954606,11.792683817020622,5.773017093539718,5.905678639786004,16.899069259833283,21.477322558001692,9.596574631766034,6.126923584257032,3.8869756180754274,7.290744200676071,8.826454545956816,2.92499217260124,6.222016488161502,25.780484472242595,8.826454545956816,5.962415908001472,19.447642941811615,6.2280557213637895,19.42758822757843,8.241038792638886,11.792683817020622,6.820186104652468,7.393927861790704,8.05651035704135,4.280048440822959,11.792683817020622,6.659022296210602,14.665112158176866,8.33780967322423,5.996966346104829,8.804592302105243,6.118989240745829,9.996368779394496,8.524656939793676,5.850180284035564,2.92499217260124,48.206074019749174,24.18002813001923,0.8588407543111474,8.722017967655022,8.975161462043905,10.857467223324145,11.792683817020622,9.13685169491082,12.965177119025238,7.465656314959984,5.833938209452583,7.279006938121717,8.934617968875932,11.139628241335727,7.470659401125521,7.523173166038799,16.906525687136146,5.554974074499065,10.723251947806691,24.351391440913,5.870502608844276,20.08047128639287,0.9743271210585626,7.935378234185902,39.664562507612715,8.198990133328813,5.472525304015953,11.792683817020622,23.227072557101113,23.84875762080751,34.58547402902441,42.47771195952886,7.526640508939501,11.792683817020622,11.792683817020622,11.792683817020622,5.597860498578091,11.792683817020622,10.038377905158876,8.66306920335332,14.892625440974447,6.26590515102367,18.924075075891366,10.306738437271957,18.660301768214538,39.432445994984135,6.669516999091513,10.257848792632112,10.72332997728299,24.078729088319637,13.142493818029761,10.257437275211887,5.784326294760438,8.041283949826582,11.792683817020622,8.19701989628364,20.428783748578724,8.667490550960528,8.33780967322423,9.754316763992238,8.577709381600645,7.008905085576585
Sustainable Wine Tours,10.257437275211887,0.0,5.745116311348655,1.7298962475127997,6.780378905736768,7.174525994645483,11.408053514254572,12.398775036209335,0.9435250162801821,4.80968863932422,6.370461662082054,3.34415679865977,1.6073694011731126,7.362140804809272,4.037945662954746,15.747916445707613,1.6073694011731126,5.082869898369026,11.121853407684034,5.199510797861022,10.498275722716501,3.8417056556829707,1.7298962475127997,4.7442580240017165,3.488151499640727,2.6428145558770515,6.143330357778461,1.7298962475127997,5.546151978611148,6.672888732296013,1.9596709297235868,4.264085820943237,6.978717795969713,5.363318560193292,0.4544850896274444,14.814828779849071,6.949476272072597,7.362140804809272,42.079480398636086,34.25879602542351,10.585142397976641,6.952093950543817,3.235599392954308,0.6796865999297285,1.7298962475127997,1.2439747735003155,8.448411626466816,6.015281537980678,7.029966184386769,3.27771678717119,6.890290026953087,2.628569181780326,5.997428415029172,4.234240842830807,7.288502321641221,5.624743810346324,1.949584184748952,14.443698009073195,4.881836823826683,10.457392582635727,10.567606973883489,2.6964186585591103,29.44441009023234,2.0585571625061942,5.706696148240413,1.7298962475127997,13.169630391075042,13.925792816899094,24.375772286969884,33.844258934562525,5.83001311002308,1.7298962475127997,1.7298962475127997,1.7298962475127997,5.575243059274489,1.7298962475127997,0.32716018368764177,7.0488249537603265,9.148403693597073,5.401601634082948,9.277489940342035,6.996553172476476,10.67493188103529,29.18868041356367,4.676522303191615,0.003973639952849789,0.9976866240486917,14.072098473396277,3.171697750782347,0.0,4.474824297423494,2.2178474132866026,1.7298962475127997,2.572923152842991,10.770412056972821,7.007948089228062,1.9596709297235868,1.3719156842934546,1.7010724016522916,3.7290059538621976
Mission Santa Barbara,14.023405566954606,5.745116311348655,0.0,5.99612327138222,12.150770561876284,12.58930106241654,6.166039934705824,14.33625222415023,5.593866186506789,10.006444642664704,10.482309833581768,8.642009145925527,7.1177344792338015,11.515799716252596,8.56828683264364,12.357755593846852,7.1177344792338015,10.282316142473793,14.112562450959041,10.535673930884627,5.404185103304133,9.539526481314489,5.99612327138222,10.205840813705995,8.908002526288124,8.125240149175005,10.697958269610705,5.99612327138222,11.046190193003639,0.937102785500765,7.167325165485871,8.763997858689466,12.720767013874463,10.689033268927325,5.574452875456277,15.487010045308672,12.345230538004444,11.515799716252596,36.3367521206651,36.689299458559454,14.04053670688754,12.692365324847843,5.082991292452552,5.176966134620092,5.99612327138222,6.789964252056889,13.818203740382652,11.669770668735739,12.425152011345709,8.52662664597174,12.634591430796789,3.319229028613689,11.652335865398213,9.827067113490436,3.5675663714772083,10.782493185849807,3.989090229844718,10.760027287874118,9.955768098727079,6.347535256586382,14.628430329917997,8.125405472241328,26.53329018920028,7.011459749607269,10.848486258032281,5.99612327138222,9.988686768442326,10.301490774448824,21.478432847027744,28.65180186019141,11.489754360259669,5.99612327138222,5.99612327138222,5.99612327138222,10.739568483945757,5.99612327138222,5.65501402464539,12.786993860760422,14.05149898980147,10.781620332145089,10.83074940187679,12.691602200826594,14.042547216449757,26.48642237431268,10.077131871454942,5.7414805038640235,4.750861040613705,10.674347154812304,6.478512455592142,5.745116311348655,8.808478715053525,7.163657727925832,5.99612327138222,8.1068354479515,6.711476919878976,12.746459386966936,7.167325165485871,7.113469637429564,6.5603441493073,9.020179442149356
Captain Jack's Tours & Events,11.792683817020622,1.7298962475127997,5.99612327138222,0.0,7.75231318447816,8.090122506427408,12.033612003382132,10.687040999153549,2.6551313991469248,6.019031354401497,7.920942263637491,4.608300675920955,2.9665774997775483,8.872202585670298,5.590282554241808,14.576610389826575,2.9665774997775483,6.2726883684628385,9.509178283910627,6.281106971951602,10.063157683561744,4.523052192489806,0.0,5.739520857078901,4.635324899027931,3.8346393941796633,7.5799088976061455,0.0,6.447739014718608,6.9252491453348135,3.4675546186236077,5.8110195373853974,7.267401953159365,6.443527571790766,2.152247965762016,16.540182668046217,7.891682892718531,8.872202585670298,42.06474117150002,35.88309835149504,12.172423428373094,7.260395307127072,4.827407654006971,1.4917762474262017,0.0,2.6614827809320283,7.822876826859461,6.658919573109614,7.969499785480659,4.58345844288423,7.146101519802265,3.5391844891604265,6.641045457887245,5.102026675664589,6.62747704536881,6.810016875322485,3.034973186306471,13.377193761006732,6.160689535851704,9.653504366440739,12.030570015050067,3.9333153465748145,28.049752559863254,3.659325234717557,6.897568978704102,0.0,12.001701387042765,12.854805631463787,23.00216485133973,33.198047829100574,6.47155259595024,0.0,0.0,0.0,6.759040131372298,0.0,2.0440027574267576,7.372160709975896,8.153254422092138,6.43335427834083,7.547812588285444,6.907052830121447,9.126201299434909,27.754390436058603,5.736939256084779,1.7314946009144119,2.059164446928051,12.936754073755194,1.4432673502893958,1.7298962475127997,6.052700958164634,3.80115183691955,0.0,3.716768561168914,9.93524512301963,7.329837472381197,3.4675546186236077,2.12253244992012,3.371933179338575,4.959059673041278
Stearns Wharf,5.773017093539718,6.780378905736768,12.150770561876284,7.75231318447816,0.0,0.4676000878540483,16.86686449494069,16.09078762596827,6.610951778953147,2.1670427503883496,3.655002296747452,3.521468836669289,5.18917162647967,3.6252637032659676,3.8856414424353973,22.328726803737073,5.18917162647967,1.9031675088418563,13.882432571359796,1.616670364837662,17.226271827173402,3.2866051982755775,7.75231318447816,2.040633565592408,3.304018854488249,4.142742190092621,2.7103126437106675,7.75231318447816,1.3163297495802038,13.012353350492807,5.01110878128815,3.7706885087515145,3.0627315200942444,1.4617614373978864,6.763677475587552,13.561975131226982,0.21649730625818878,3.6252637032659676,48.234862195669464,29.48416026659294,6.522976867212287,2.9791845448164707,7.519144866186331,7.459112895002457,7.75231318447816,5.550829441395002,7.198585702507641,1.7305051915311438,0.2870517632329293,3.629010836239671,3.1806443985160593,8.834264564420604,1.7386438205141783,2.6514558817600324,14.068700054810162,1.494260324898647,8.185521474436193,21.114655002627174,2.296102074327309,17.22944697863832,5.473185788540477,4.10529720990841,35.64517238667106,5.140211152834113,1.4630045668682203,7.75231318447816,19.753994101553324,20.59302250491268,30.635488146506713,40.6028789369521,1.8284859621251803,7.75231318447816,7.75231318447816,7.75231318447816,1.5219959991278798,7.75231318447816,6.727671774267124,2.9345262448154332,9.122331739662279,1.3848349845480918,13.904350379180505,4.536550507786145,13.041646528961278,35.28944836160175,2.1090655794640534,6.7828267053785245,7.640476413038216,20.68747330653513,8.80266597870311,6.780378905736768,3.9065731280335356,4.987113623878637,7.75231318447816,4.207472711573087,17.53707836833167,2.9331476524023556,5.01110878128815,5.675982771582293,5.594211523236462,3.136580604622189
Celebration Cruises,5.905678639786004,7.174525994645483,12.58930106241654,8.090122506427408,0.4676000878540483,0.0,17.332908841990015,16.180524340792463,7.035387367875234,2.624524605188026,4.050392208624568,3.9508387312924316,5.593590217308452,3.93830472587333,4.353043327899466,22.660321480142407,5.593590217308452,2.3643322848507573,13.923301175936,2.0551283390401376,17.64034067189375,3.587008876553078,8.090122506427408,2.4313030255373866,3.715864023277338,4.546789805415015,3.1192499453417444,8.090122506427408,1.6464442392579381,13.455315633842876,5.437501508748225,4.238203365812614,2.9011183429104572,1.9056912996863775,7.173380101399736,13.847444344766249,0.2530271861220501,3.93830472587333,48.694630559037506,29.433607952334064,6.683628918502431,2.819040107522789,7.982339627552205,7.851608480502542,8.090122506427408,5.953201990372028,7.0689030440326475,1.7879250788923655,0.18185525708410308,4.06305061913068,3.035963999320059,9.271105587511773,1.799969971022188,2.9936253791685714,14.459164813180667,1.9617301994612752,8.617306832838832,21.46387077008762,2.7620464395498043,17.610776099268218,5.532041005320908,4.516596702483298,35.9144143470386,5.577898978747437,1.9293596812694425,8.090122506427408,20.088356780387702,20.941794217600272,30.915117644266342,41.01087007478144,1.9231904730662013,8.090122506427408,8.090122506427408,8.090122506427408,1.989595759910633,8.090122506427408,7.133106471275683,2.757606612747276,9.036535728171332,1.80863267054011,14.076879808729721,4.422720487893124,13.063591669107307,35.54659349785303,2.523994591444376,7.1770850381818425,8.050468088600423,21.026302790688373,9.099281757747384,7.174525994645483,4.372366299650163,5.427009423531044,8.090122506427408,4.603814801386844,17.91534019221251,2.7626810298696722,5.437501508748225,6.036072890311662,6.02963137477357,3.5695827607436215
Santa Barbara Botanic Garden,16.899069259833283,11.408053514254572,6.166039934705824,12.033612003382132,16.86686449494069,17.332908841990015,0.0,20.075602432413767,10.948540570592023,14.726595276221216,14.209590041499563,13.612555502824032,12.449226446722609,15.106118188328379,12.988019033964063,14.506767348193769,12.449226446722609,14.974971921087334,20.140166485698934,15.340390534141985,6.8947602327077195,14.886300613578852,12.033612003382132,15.175862698999365,13.954079086190244,13.312203345205585,14.762352112192222,12.033612003382132,16.00116607072121,5.329242635553177,12.301884170564602,13.121868731625357,18.12744386117537,15.468972775712263,11.112094911844185,15.008393866434693,17.079883028422994,15.106118188328379,31.50105320547556,36.74722337413283,16.610374415195512,18.084222105046088,9.371179164292759,10.971462667466504,12.033612003382132,12.190291394866634,19.788634892418496,16.830338287577355,17.153839604712296,13.473042478508098,18.071658170172324,8.779580836660166,16.81448858076726,14.98672831807518,8.24510516640261,15.382466747757212,9.46364679161113,12.81446189525359,14.570885579967861,9.13889028456851,17.726366572442725,13.267237677256464,28.085504496861258,12.036757091476142,15.426012335134187,12.033612003382132,12.840168930163424,12.534963477570216,23.311504919362672,26.23734305072352,16.66859718444043,12.033612003382132,12.033612003382132,12.033612003382132,15.35040220299625,12.033612003382132,11.224115549990202,18.16165616523587,20.166925902838177,15.612728577148324,16.610321867992322,18.371136533424902,20.1372149907967,28.2922917290094,14.991054370915647,11.404105095782661,10.438391656708177,13.121811630677568,12.636275575883664,11.408053514254572,13.03838767124255,12.150084025692728,12.033612003382132,13.341944150776058,9.422668747306664,18.124332744330246,12.301884170564602,12.749808219521235,11.653528369337993,13.938622890921849
Arroyo Burro Beach,21.477322558001692,12.398775036209335,14.33625222415023,10.687040999153549,16.09078762596827,16.180524340792463,20.075602432413767,0.0,13.336961995534732,15.359196834278336,17.887811990405858,14.361268860587364,13.22336967751648,18.64653830253935,15.747476960447438,12.855246838855189,13.22336967751648,15.515175217499284,2.735973310146021,15.263349906360395,14.564782489439732,13.236283917606443,10.687040999153549,14.663641681117664,14.175613677545774,13.666180359587555,17.251716716179654,10.687040999153549,14.939477326339345,14.952365420316369,13.79295784257413,15.93623787284826,13.681868912552867,15.383404922827124,12.834991030785117,27.2022586411835,16.10973564912541,18.64653830253935,45.103138926623004,45.55451561181674,22.047084187885353,13.741766210936236,15.467147386426186,12.140413393040713,10.687040999153549,13.038537684679303,10.318210437529867,14.394820267763803,16.160947747712903,14.413735156975287,13.510600465087897,13.698506846060724,14.383558830061412,13.955088339535223,11.894939956716051,15.933404450969139,13.44460667774475,12.912172708098192,15.632976216247629,12.510791188381853,21.4233047807486,13.80381228224339,22.05660766786154,14.081377864275503,16.018315511729767,10.687040999153549,11.310527103392726,12.554006262348768,17.67219520685203,32.76617854295513,14.272372298274732,10.687040999153549,10.687040999153549,10.687040999153549,15.888689959192618,10.687040999153549,12.721109979037376,13.852131342346363,8.393656066315463,15.256024499994272,3.505559976872784,12.233945480604408,3.741480527043651,21.384671336138236,14.808059402017722,12.400843952463646,12.642273885058941,12.105139969451098,9.282945803641706,12.398775036209335,16.22957093173281,14.185088675578939,10.687040999153549,13.51469436932307,12.478548650646625,13.823957157499406,13.79295784257413,12.1834458948956,13.911036727457764,14.57137000876175
Santa Barbara County Courthouse,9.596574631766034,0.9435250162801821,5.593866186506789,2.6551313991469248,6.610951778953147,7.035387367875234,10.948540570592023,13.336961995534732,0.0,4.519564015685162,5.724610910372999,3.0903242208625445,1.5385283392172227,6.745745731008941,3.4389719320402503,16.25321793765569,1.5385283392172227,4.7983615995356566,12.061370406424142,4.996494764200209,10.62468320461868,3.992246498559407,2.6551313991469248,4.625568193165941,3.3270538091456148,2.5315073775329697,5.614089573206578,2.6551313991469248,5.461637025088913,6.490916541841153,1.6002074743061934,3.664127081449824,7.224298120932227,5.15536837159998,0.5028864546371932,13.885546596423165,6.796946208378858,6.745745731008941,41.887501415500004,33.48691146716674,9.872668529421183,7.187707750790453,2.3336475018585006,1.318103654442601,2.6551313991469248,1.2454402022096696,9.093228295129437,6.083389373429717,6.877497591808853,2.989436557110329,7.155574261397858,2.2933329498832817,6.066120969177266,4.2345761404620506,7.585745268822759,5.325889392447075,1.6058918126610384,14.892667945217338,4.529267621771628,10.785432206932537,9.97025998080019,2.5355764879544695,30.068184034264462,1.5300102946327072,5.400913565381394,2.6551313991469248,13.683191017905054,14.379692821277597,24.990036837406393,34.0089082026906,5.905511939363947,2.6551313991469248,2.6551313991469248,2.6551313991469248,5.27907828377779,2.6551313991469248,0.6173833285699393,7.273976579990216,9.924705497890876,5.228790374292173,10.192340406523924,7.432126969549285,11.604557046096255,29.8393639028903,4.511876622583527,0.9411006298651715,1.1387583523546236,14.56261930247506,4.088256193994594,0.9435250162801821,3.8317396288653143,1.6974601404737892,2.6551313991469248,2.514928560535009,11.11264744633733,7.234847845958125,1.6002074743061934,1.8957576636586517,1.0792947046623484,3.4776852404065517
SB Buggie,6.126923584257032,4.80968863932422,10.006444642664704,6.019031354401497,2.1670427503883496,2.624524605188026,14.726595276221216,15.359196834278336,4.519564015685162,0.0,2.70534113929952,1.4656156270664187,3.203711016245233,3.3025820525105427,1.8125738306502004,20.525251921635075,3.203711016245233,0.2788248024058145,13.401998932194962,0.6378933756339541,15.142181776425574,2.1386548455096874,6.019031354401497,0.8702642284911457,1.384294084667149,2.201464639932617,1.9133142145068018,6.019031354401497,1.4069917133171903,10.858844317466032,2.928350800617636,1.7548088872920524,4.081700700086522,0.7460691198803047,4.727610846214946,12.84554702051722,2.373048996685184,3.3025820525105427,46.07016806069864,30.287520467280224,6.691212307839399,4.008729003238645,5.363895200503113,5.486250934808467,6.019031354401497,3.566055897211673,7.687209241183383,2.4613821832591434,2.45042697758012,1.5417632116392215,4.117039829148711,6.697036797034828,2.451715549676415,1.4507939893325308,12.066538675391014,0.8153856517861805,6.063372446069795,19.246908864889654,0.3321690683586984,15.252412292563752,6.17225720442904,2.1243587164478015,34.06542215611417,3.012569152932992,0.8970643408187126,6.019031354401497,17.945648190799353,18.727948569140942,29.020850309040746,38.52717086132662,2.3715913740988754,6.019031354401497,6.019031354401497,6.019031354401497,0.7663325004605834,6.019031354401497,4.709537163990719,4.030903466017743,9.334185116687232,0.9135346889058926,12.821858152486119,5.1559874069673635,12.661746448750177,33.75858361966815,0.638178411423852,4.811613876815051,5.59536829911756,18.859781978437045,7.23755854066111,4.80968863932422,1.9748398955925281,2.8531404234073183,6.019031354401497,2.3070883467917116,15.570294095141296,4.007495834572544,2.928350800617636,3.8967466742473005,3.471195378062143,1.0821872536196226
